CONTRY;CHANGED;USER;CCPU;CCPU_CHANGES;DCPU;DCPU_CHANGES;RCPU;RCPU_CHANGES;X010;X010T_CHANGES;X200_FLASH_TURBE;X200T_CHANGES
Italien;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.86 L1;
Letland;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.86 L1;
New-Zealand;17-12-2007;KGS;2.00;;D920M;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.84 L2;
Norge;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.75.L4;
Schweitz;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.83 L3;
Spanien;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.86 L1;
Sudan;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.84 L2;
Sverige;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.86 L1;
Tyskland;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.83 L3;
USA;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.06;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.84 L2;
VOSA;17-12-2007;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.84 L2;
Belgien;04-02-2008;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.88 L1;Max. grænsen for Pm starttryk var 0.25 bar for godkendelse af rullemodstand og starttryk. Dette er ændret til 0.5 bar. Endvidere måles Pm starttryk først efter motorstart. I princippet som Max. bremsekræft, for at undgå peak værdier i start øjeblikket.
Czech;04-02-2008;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.88 L1;Max. grænsen for Pm starttryk var 0.25 bar for godkendelse af rullemodstand og starttryk. Dette er ændret til 0.5 bar. Endvidere måles Pm starttryk først efter motorstart. I princippet som Max. bremsekræft, for at undgå peak værdier i start øjeblikket.
Danmark;04-02-2008;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.88 L1;Max. grænsen for Pm starttryk var 0.25 bar for godkendelse af rullemodstand og starttryk. Dette er ændret til 0.5 bar. Endvidere måles Pm starttryk først efter motorstart. I princippet som Max. bremsekræft, for at undgå peak værdier i start øjeblikket.
Frankrig;04-02-2008;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.88 L1;Max. grænsen for Pm starttryk var 0.25 bar for godkendelse af rullemodstand og starttryk. Dette er ændret til 0.5 bar. Endvidere måles Pm starttryk først efter motorstart. I princippet som Max. bremsekræft, for at undgå peak værdier i start øjeblikket.
Færøerne;04-02-2008;KGS;2.00;;D920P / F14.27;;RC9.10;;V8.00.27;Der var problemer med auto registrering ved 50 % drop. Dette er fikset.ATL England:”Applyed brake er tilføjet”. Dvs. håndbremsen er trukket inden de starter testen. Før fik de ikke bremsekræfterne udlæst. Dette gør de nu.Difference blev før målt både når der bremses op og ned. Nu måles den kun når der bremses op.I forbindelse med suspension test var der problemer med at brugeren ikke kunne nå at se resultatet på displayet, da den aktuelle vægt blev vist lige efter testens afslutning. Nu vises resultatet i 10 sek.;P9.88 L1;Max. grænsen for Pm starttryk var 0.25 bar for godkendelse af rullemodstand og starttryk. Dette er ændret til 0.5 bar. Endvidere måles Pm starttryk først efter motorstart. I princippet som Max. bremsekræft, for at undgå peak værdier i start øjeblikket.
